pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
853.0,1475,5.2,2.0,305.0,3.0,2.4574561328669753,-1.720729309053138,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
850.0,1508,7.2,1.2,280.0,13.0,12.802500789158708,-2.2574263096700897,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
848.0,1527,7.4,1.4,287.0,13.0,12.43196182751946,-3.800832161395577,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
831.0,1693,6.4,-2.6,350.0,15.0,2.6047226650039557,-14.77211629518312,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
820.0,1802,5.4,-2.8,10.0,13.0,-2.257426309670094,-12.802500789158705,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
813.0,1871,4.8,-2.9,10.0,12.0,-2.083778132003164,-11.817693036146496,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
805.0,1952,4.0,-3.0,7.0,13.0,-1.584301464266917,-12.903099971337186,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
790.0,2102,2.7,-3.7,0.0,16.0,-0.0,-16.0,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
772.0,2286,1.0,-4.7,5.0,13.0,-1.1330246557195562,-12.950531075192693,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
761.0,2400,0.0,-5.2,10.0,15.0,-2.6047226650039548,-14.77211629518312,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
726.0,2776,-3.3,-7.1,25.0,25.0,-10.565456543517486,-22.657694675916247,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
718.0,2865,-4.1,-7.5,23.0,26.0,-10.159009340721118,-23.93312618976345,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
712.0,2930,-4.7,-8.4,22.0,27.0,-10.114378022229625,-25.03396407330326,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
707.0,2986,-3.9,-8.8,21.0,28.0,-10.034302587268408,-26.140251941921647,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
700.0,3064,-4.1,-10.1,20.0,29.0,-9.918584156444393,-27.251086002791343,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
676.0,3338,-5.7,-12.6,20.0,25.0,-8.550503583141717,-23.49231551964771,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
650.0,3645,-7.5,-15.5,20.0,28.0,-9.576564013118723,-26.31139338200543,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
646.0,3693,-7.9,-15.8,20.0,28.0,-9.576564013118723,-26.31139338200543,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
605.0,4199,-12.2,-18.4,30.0,22.0,-10.999999999999998,-19.052558883257653,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
600.0,4263,-12.7,-18.7,28.0,22.0,-10.328374381289596,-19.424847042896396,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
586.0,4443,-14.1,-21.1,23.0,21.0,-8.205353698274749,-19.33060192250125,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
554.0,4865,-17.3,-22.0,10.0,18.0,-3.125667198004746,-17.726539554219745,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
546.0,4974,-18.1,-22.2,15.0,18.0,-4.658742811845373,-17.38666487320323,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
535.0,5127,-19.3,-22.5,1.0,19.0,-0.3315957223083867,-18.99710620797143,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
534.0,5141,-19.3,-22.7,0.0,19.0,-0.0,-19.0,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
524.0,5282,-19.5,-25.0,0.0,23.0,-0.0,-23.0,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
522.0,5310,-19.5,-25.5,0.0,24.0,-0.0,-24.0,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
520.0,5339,-19.6,-26.1,0.0,26.0,-0.0,-26.0,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
516.0,5396,-19.7,-27.4,5.0,29.0,-2.527516539682087,-28.88964624466062,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
513.0,5439,-19.8,-28.3,0.0,28.0,-0.0,-28.0,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
508.0,5512,-19.9,-29.9,0.0,28.0,-0.0,-28.0,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
501.0,5615,-20.1,-30.1,0.0,27.0,-0.0,-27.0,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
500.0,5630,-20.1,-31.1,0.0,27.0,-0.0,-27.0,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
487.0,5824,-21.3,-35.3,355.0,27.0,2.3532050541867746,-26.89725684847713,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
451.0,6378,-26.5,-38.6,340.0,27.0,9.234543869793052,-25.37170076121953,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
430.0,6722,-29.7,-40.7,346.0,28.0,6.7738130767907005,-27.1682803357279,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
408.0,7092,-32.9,-44.9,353.0,30.0,3.656080302154417,-29.776384549239665,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
400.0,7230,-34.3,-46.3,355.0,30.0,2.6146722824297495,-29.885840942752367,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
370.0,7767,-39.4,-48.4,355.0,31.0,2.701828025177408,-30.882035640844112,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
352.0,8111,-42.7,-49.7,351.0,32.0,5.005902881287396,-31.606026899044405,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
307.0,9017,-50.9,-56.0,340.0,33.0,11.286664729747065,-31.00985648593498,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
300.0,9170,-52.3,-57.1,340.0,32.0,10.944644586421395,-30.07016386514907,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
299.0,9192,-52.5,-57.2,340.0,32.0,10.944644586421395,-30.07016386514907,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
293.0,9322,-53.5,-57.8,344.0,33.0,9.096032741960965,-31.721635965964524,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
285.0,9500,-54.3,-59.3,350.0,35.0,6.0776862183425635,-34.468271355427284,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
279.0,9636,-55.1,-60.0,355.0,37.0,3.2247624816633578,-36.85920382939459,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
276.0,9705,-55.5,-60.4,0.0,36.0,-0.0,-36.0,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
275.0,9729,-55.6,-60.5,0.0,35.0,-0.0,-35.0,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
273.0,9775,-55.7,-60.7,2.0,33.0,-1.151683391182532,-32.97989729163016,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
271.0,9822,-55.4,-60.7,5.0,31.0,-2.701828025177403,-30.882035640844112,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
265.0,9966,-54.6,-60.6,5.0,25.0,-2.1788935686914543,-24.90486745229364,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
261.0,10064,-54.1,-60.6,355.0,26.0,2.2660493114391165,-25.901062150385386,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
250.0,10340,-52.5,-60.5,345.0,23.0,5.952838037357976,-22.21629400464857,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
246.0,10444,-52.1,-60.1,335.0,19.0,8.029746973073285,-17.219847953696352,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
230.0,10877,-55.1,-64.8,345.0,29.0,7.5057523079731,-28.01184896238298,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
227.0,10961,-55.7,-65.7,344.0,30.0,8.269120674509969,-28.837850878149567,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
212.0,11402,-52.1,-64.8,340.0,35.0,11.9707050163984,-32.88924172750679,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
205.0,11619,-50.3,-64.3,343.0,31.0,9.063522846404853,-29.645447434854095,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
202.0,11715,-50.3,-64.3,344.0,29.0,7.993483318692969,-27.876589182211248,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
200.0,11780,-50.1,-65.1,345.0,28.0,7.246933262870579,-27.04592313609391,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
197.0,11879,-49.7,-64.9,340.0,24.0,8.208483439816046,-22.5526228988618,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
188.0,12187,-48.3,-64.3,318.0,28.0,18.735656978048027,-20.808055113367043,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
187.0,12222,-48.4,-64.5,315.0,28.0,19.798989873223334,-19.798989873223327,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
175.0,12659,-49.3,-67.3,338.0,31.0,11.612804395893283,-28.74269949157041,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
174.0,12696,-49.2,-67.4,340.0,31.0,10.602624443095726,-29.13047124436316,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
170.0,12850,-48.7,-67.7,338.0,32.0,11.987410989309195,-29.66988334613719,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
161.0,13207,-49.9,-69.9,332.0,35.0,16.431504697506178,-30.903165750062445,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
150.0,13670,-50.7,-71.7,325.0,39.0,22.369481017690813,-31.94692972727067,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
149.0,13713,-50.9,-72.2,320.0,39.0,25.068716777775045,-29.875733281640137,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
146.0,13845,-51.5,-73.5,318.0,36.0,24.088701828918893,-26.753213717186195,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
141.0,14073,-50.5,-73.7,315.0,30.0,21.21320343559643,-21.21320343559642,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
137.0,14260,-49.7,-73.8,300.0,36.0,31.17691453623979,-18.000000000000004,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
133.0,14453,-48.9,-73.9,310.0,31.0,23.74737773668832,-19.926415900282716,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
131.0,14552,-49.3,-74.5,315.0,29.0,20.506096654409884,-20.506096654409873,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
121.0,15068,-51.2,-77.5,330.0,34.0,17.000000000000014,-29.444863728670903,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
114.0,15455,-52.7,-79.7,300.0,21.0,18.186533479473212,-10.500000000000002,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
110.0,15685,-52.2,-80.0,295.0,26.0,23.564002462952896,-10.98807480525819,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
109.0,15744,-52.1,-80.1,292.0,27.0,25.03396407330326,-10.114378022229625,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
105.0,15985,-52.5,-81.0,280.0,30.0,29.54423259036624,-5.209445330007899,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
101.0,16236,-52.9,-81.9,292.0,32.0,29.6698833461372,-11.987410989309184,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
100.0,16300,-52.7,-82.7,295.0,33.0,29.908156972209444,-13.946402637443088,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
94.0,16696,-54.1,-84.1,320.0,26.0,16.71247785185003,-19.917155521093424,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
87.0,17190,-55.8,-85.8,305.0,23.0,18.84049701864681,-13.192258036074058,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
86.5,17227,-55.9,-85.9,307.0,23.0,18.368616731087744,-13.841745532497102,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
85.1,17331,-55.7,-85.7,312.0,24.0,17.83547581145747,-16.059134552612587,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
83.0,17488,-56.2,-86.1,320.0,25.0,16.06969024216349,-19.151111077974445,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
77.0,17961,-57.8,-87.2,300.0,24.0,20.784609690826528,-12.000000000000004,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
73.2,18280,-58.9,-87.9,309.0,23.0,17.874357113510328,-14.474368994146262,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
71.0,18471,-59.1,-88.1,315.0,23.0,16.263455967290597,-16.26345596729059,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
70.9,18480,-59.1,-88.1,315.0,24.0,16.970562748477143,-16.970562748477136,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
70.0,18560,-58.7,-87.7,315.0,25.0,17.677669529663692,-17.677669529663685,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
69.0,18650,-58.8,-87.8,320.0,28.0,17.998053071223108,-21.449244407331378,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
66.0,18930,-59.0,-88.0,340.0,16.0,5.472322293210698,-15.035081932574537,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
64.0,19123,-59.1,-88.1,320.0,7.0,4.499513267805777,-5.362311101832844,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
63.7,19153,-59.1,-88.1,316.0,8.0,5.557266963671981,-5.754718402709207,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
61.0,19424,-59.5,-88.5,275.0,15.0,14.942920471376183,-1.3073361412148683,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
59.1,19622,-59.7,-88.7,288.0,17.0,16.167960777017612,-5.253288904374103,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
56.2,19938,-59.3,-88.3,309.0,20.0,15.542919229139416,-12.586407820996753,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
56.0,19960,-59.3,-88.3,310.0,20.0,15.320888862379562,-12.855752193730783,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
55.0,20073,-59.5,-88.5,313.0,17.0,12.433012927525896,-11.593972121062478,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
53.0,20305,-59.5,-88.5,320.0,11.0,7.070663706551936,-8.426488874308756,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
52.2,20400,-59.5,-88.5,328.0,13.0,6.888950435031665,-11.024625250033536,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
50.5,20608,-59.7,-88.7,345.0,18.0,4.658742811845372,-17.38666487320323,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
50.0,20670,-59.9,-88.9,350.0,19.0,3.2993153756716773,-18.711347307231954,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
49.4,20745,-59.9,-88.9,354.0,18.0,1.8815123388177617,-17.901394116628918,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
48.0,20925,-59.6,-88.6,5.0,14.0,-1.2201803984672144,-13.946725773284438,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
47.0,21057,-59.5,-88.5,40.0,8.0,-5.142300877492314,-6.128355544951824,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
46.0,21192,-59.3,-88.3,20.0,3.0,-1.0260604299770062,-2.8190778623577253,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
44.2,21442,-58.9,-87.9,96.0,5.0,-4.972609476841367,0.5226423163382677,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
44.0,21471,-58.9,-87.8,105.0,5.0,-4.8296291314453415,1.294095225512604,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
42.7,21659,-58.5,-87.5,60.0,8.0,-6.928203230275509,-4.000000000000001,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
41.0,21914,-58.9,-87.9,0.0,12.0,-0.0,-12.0,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
38.2,22357,-59.7,-88.7,42.0,13.0,-8.698697882665158,-9.660882731206126,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
38.0,22390,-59.7,-88.7,45.0,13.0,-9.192388155425116,-9.19238815542512,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
37.0,22557,-59.7,-88.7,35.0,8.0,-4.588611490808368,-6.553216354311934,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
36.4,22659,-59.7,-88.7,51.0,10.0,-7.771459614569709,-6.293203910498374,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
35.0,22904,-60.0,-88.2,90.0,15.0,-15.0,-9.18485099360515e-16,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
34.8,22940,-60.1,-88.1,89.0,13.0,-12.998020037033086,-0.2268812836846867,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
34.0,23085,-60.2,-88.8,85.0,4.0,-3.984778792366982,-0.3486229709906325,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
33.5,23178,-60.3,-89.3,120.0,4.0,-3.464101615137755,1.9999999999999991,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
33.0,23272,-60.0,-89.2,155.0,5.0,-2.1130913087034973,4.531538935183249,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
32.0,23464,-59.3,-88.9,140.0,4.0,-2.571150438746158,3.0641777724759116,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
31.2,23623,-58.7,-88.7,105.0,9.0,-8.693332436601615,2.3293714059226875,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
30.0,23870,-57.5,-87.5,50.0,16.0,-12.256711089903648,-10.28460175498463,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
29.0,24084,-57.2,-87.2,50.0,20.0,-15.32088886237956,-12.855752193730789,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
28.7,24149,-57.1,-87.1,49.0,19.0,-14.339482024232668,-12.46512155081964,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
27.0,24533,-58.3,-87.6,40.0,11.0,-7.070663706551931,-8.426488874308758,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
26.5,24651,-58.7,-87.7,67.0,8.0,-7.364038827619523,-3.1258490279141897,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
26.0,24770,-58.8,-87.7,95.0,4.0,-3.984778792366982,0.3486229709906329,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
25.0,25015,-59.1,-87.6,15.0,13.0,-3.3646475863327696,-12.557035741757888,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
23.5,25402,-59.5,-87.5,46.0,16.0,-11.509436805418416,-11.114533927343956,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
22.7,25617,-59.9,-88.9,64.0,18.0,-16.178292833385004,-7.890680642203394,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
22.0,25813,-59.4,-88.7,80.0,20.0,-19.69615506024416,-3.4729635533386083,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
21.0,26104,-58.6,-88.3,40.0,16.0,-10.284601754984628,-12.256711089903648,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
20.4,26286,-58.1,-88.1,31.0,15.0,-7.725571123650813,-12.857509510531685,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
20.0,26410,-57.9,-86.9,25.0,15.0,-6.339273926110492,-13.59461680554975,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
19.9,26442,-57.9,-86.9,29.0,14.0,-6.7873346834487185,-12.24467589995154,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
19.7,26505,-58.1,-87.1,38.0,12.0,-7.3879377039079,-9.456129043280663,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
19.0,26734,-57.4,-86.9,70.0,6.0,-5.63815572471545,-2.052120859954013,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
18.3,26971,-56.7,-86.7,25.0,12.0,-5.071419140888393,-10.8756934444398,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
18.0,27076,-56.7,-86.7,5.0,14.0,-1.2201803984672144,-13.946725773284438,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
17.0,27438,-56.5,-86.5,350.0,13.0,2.257426309670095,-12.802500789158705,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
16.4,27666,-56.1,-86.1,14.0,16.0,-3.870750329594684,-15.524731620415944,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
16.0,27823,-55.9,-85.9,30.0,18.0,-8.999999999999998,-15.588457268119896,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
15.9,27863,-55.9,-85.9,29.0,18.0,-8.726573164434066,-15.743154728509124,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
15.0,28233,-55.8,-85.8,20.0,18.0,-6.156362579862037,-16.914467174146353,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
14.0,28672,-55.8,-85.8,20.0,13.0,-4.446261863233693,-12.21600407021681,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
13.4,28951,-55.7,-85.7,53.0,17.0,-13.576803670803978,-10.23085539358482,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
13.0,29144,-55.5,-85.5,75.0,20.0,-19.31851652578137,-5.176380902050415,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
12.7,29293,-55.3,-85.3,,,,,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
12.1,29601,-55.5,-85.5,,,,,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
12.0,29654,-55.7,-85.7,,,,,GJT,72476,2023-11-20 12:00:00,39.11,-108.53,1475.0,9.12
